session_id,timestamp,hp,max_hp,pos_x,pos_y,vel_x,vel_y,grounded,facing,enemy0_present,enemy0_rel_x,enemy0_rel_y,enemy0_distance,enemy0_attacking,enemy1_present,enemy1_rel_x,enemy1_rel_y,enemy1_distance,enemy1_attacking,action_left,action_right,action_up,action_down,action_jump,action_dash,action_attack,action_skill,action_heal
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,2.105,5,5,38.84,8.018,0,0,0,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,2.21,5,5,38.84,8.018,0,0,0,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,2.21,5,5,38.84,8.018,0,0,0,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,2.256,5,5,38.84,8.018,0,0,0,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,2.3,5,5,38.84,8.018,0,0,0,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,2.388,5,5,38.84,8.018,0,0,0,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,2.435,5,5,38.84,8.018,0,0,0,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,2.496,5,5,38.84,8.018,0,0,0,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,2.541,5,5,38.84,7.944,0,0,0,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,2.587,5,5,38.84,7.715,0,-3.6,0,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,2.634,5,5,38.84,7.568,0,-6,1,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,2.682,5,5,38.84,7.568,0,0,1,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,2.729,5,5,38.84,7.568,0,0,1,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,2.789,5,5,38.84,7.568,0,0,1,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,2.834,5,5,38.84,7.568,0,0,1,-1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,2.883,5,5,39.256,7.568,0,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,2.937,5,5,40.468,7.568,8.25,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,2.983,5,5,41.868,7.568,28,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,3.053,5,5,43.295,7.568,28,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,3.053,5,5,43.295,7.568,28,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,3.102,5,5,44.54,7.568,25.8,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,3.197,5,5,47.282,7.568,23.5,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,3.244,5,5,48.457,7.568,23.5,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
C:\Games\Hollow Knight - Silksong\BepInEx\plugins\SilksongInspectorData\session_20260912_164350_234_001.jsonl,3.307,5,5,49.241,7.568,23.5,0,1,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
